"variable" "value" "group" "Succession" "Succession_numeric" "Community"
"182" "GH17" 0.982494387398905 "GH" "Managed" 1 "Fungi"
"183" "GH17" 0.83218288857826 "GH" "Managed" 1 "Fungi"
"184" "GH17" 0.89958539475875 "GH" "Managed" 1 "Fungi"
"185" "GH17" 0.393120516475169 "GH" "Managed" 1 "Fungi"
"186" "GH17" 0.81904162185812 "GH" "Managed" 1 "Fungi"
"187" "GH17" 0.933760266214881 "GH" "Managed" 1 "Fungi"
"188" "GH17" 0.849637381323292 "GH" "Managed" 1 "Fungi"
"189" "GH17" 0.758062739608242 "GH" "Managed" 1 "Fungi"
"190" "GH17" 0.923997554270142 "GH" "Managed" 1 "Fungi"
"191" "GH17" 0.930722187648213 "GH" "Managed" 1 "Fungi"
"192" "GH17" 0.836488075239104 "GH" "Managed" 1 "Fungi"
"193" "GH18" 0.788876943723883 "GH" "Managed" 1 "Fungi"
"194" "GH18" 0.937197456156221 "GH" "Managed" 1 "Fungi"
"195" "GH18" 0.964075686380637 "GH" "Managed" 1 "Fungi"
"196" "GH18" 0.952810863015743 "GH" "Managed" 1 "Fungi"
"197" "GH18" 0.898597299011371 "GH" "Managed" 1 "Fungi"
"198" "GH18" 0.906655791344986 "GH" "Managed" 1 "Fungi"
"199" "GH18" 0.966654643279559 "GH" "Managed" 1 "Fungi"
"200" "GH18" 0.959619330685578 "GH" "Managed" 1 "Fungi"
"201" "GH18" 0.902486214373734 "GH" "Managed" 1 "Fungi"
"202" "GH18" 0.947171369764993 "GH" "Managed" 1 "Fungi"
"203" "GH18" 0.947799433930018 "GH" "Managed" 1 "Fungi"
"204" "GH18" 0.925438271680322 "GH" "Managed" 1 "Fungi"
"205" "GH18" 0.943811095938644 "GH" "Managed" 1 "Fungi"
"206" "GH18" 0.915245496097336 "GH" "Managed" 1 "Fungi"
"207" "GH18" 0.847110917152436 "GH" "Managed" 1 "Fungi"
"208" "GH18" 0.8986916651727 "GH" "Managed" 1 "Fungi"
