"shannon_bacteria" "Sample" "shannon_fungi" "cazyme_div_bacteria" "cazyme_div_fungi" "pcyc_div_bacteria" "pcyc_div_fungi" "ncyc_div_bacteria"
"105" 4.95749680983903 "Sample_107" 3.64625693038323 3.48958890896181 3.61537460817785 4.04860869619112 3.1286755593209 2.71572593662337
"106" 5.51804103689439 "Sample_108" 3.77475013211326 3.48033603263544 2.90145523371385 4.04265580275914 3.16463320449938 2.66835156179672
"107" 5.35053622859143 "Sample_109" 3.63025455268597 NA NA NA NA NA
"108" 6.11271339730109 "Sample_110" 2.88627286728915 NA NA NA NA NA
"109" 5.14876747506496 "Sample_111" 4.09120906436221 NA NA NA NA NA
"110" 6.27749694235221 "Sample_112" 4.04700342692716 NA NA NA NA NA
"111" 5.12892788903233 "Sample_113" 3.25690147936777 NA NA NA NA NA
"112" 6.528361045698 "Sample_114" 2.1016869063069 NA NA NA NA NA
"113" 5.64862948373459 "Sample_115" 3.63789652979577 NA NA NA NA NA
"114" 4.96283644109443 "Sample_116" 4.17981638849033 3.45676938492784 3.57849771660992 4.05528624143758 3.14131336969942 2.22500512491397
"115" 5.48963155507674 "Sample_117" 3.46536883155994 3.4631280554703 2.80351482231581 4.04876186206408 3.16307177410137 2.75330039692504
"116" 5.03363085844213 "Sample_118" 3.86839354415919 3.50492565294971 3.44988184545038 4.07737765709299 3.19811371409798 2.59358457105534
"117" 6.00853309233932 "Sample_119" 4.21933682066578 3.49095158113554 3.21615825569614 4.03261811978161 3.18433494581057 2.72729132085997
"118" 5.89304637303078 "Sample_120" 3.40582667498264 3.5263934232225 3.01421579867997 4.0361202807034 3.19673929728356 2.62820226986434
"119" 5.57403904523236 "Sample_121" NA 3.45871780696807 2.83190345479908 4.01285246166738 3.16761379602175 2.90738404348416
"120" 5.10489108960079 "Sample_122" 1.13043095703415 NA NA NA NA NA
"121" 5.32855261509569 "Sample_123" 2.23942614421138 NA NA NA NA NA
"122" 5.22526963906908 "Sample_124" 3.03358736070864 NA NA NA NA NA
"123" 6.12154470656131 "Sample_125" 3.82354690746147 NA NA NA NA NA
"124" 6.01672926150602 "Sample_126" 4.02805793126436 3.5457415952696 3.25327464051239 4.0833643275501 3.27415907570205 2.6291626606672
"125" 6.36269222427713 "Sample_127" 3.66497682892211 3.49235452760008 2.70816336241992 4.03690297906479 3.12064423328279 2.83180482304333
"126" 4.94633863424494 "Sample_128" 3.76818332867192 3.45408695383154 3.30078996765654 4.04422255181343 3.12554006068014 2.29361830657763
"127" 6.06852127121476 "Sample_129" 3.57844828479749 3.50558544882734 3.13775947684422 4.02340558616108 3.1236508732908 2.73736009915856
"128" 5.34592058265513 "Sample_130" 3.97307300700125 3.42319220271626 3.45494032332001 4.01954761013925 3.21233085714896 2.47824098569086
"129" 6.19034635615644 "Sample_131" 3.76027960199775 3.51052857093995 3.04107239740749 4.05543248218822 3.14675204760134 2.78348484778216
"130" 5.44878552651943 "Sample_132" NA NA NA NA NA NA
"131" 6.09666592995205 "Sample_133" 3.81814488293017 NA NA NA NA NA
"132" 4.29839975396626 "Sample_134" 3.19602987340448 NA NA NA NA NA
"133" 6.02416809291566 "Sample_135" NA NA NA NA NA NA
"134" 5.43433442911671 "Sample_136" NA 3.47324493818516 3.88249959228704 4.01491809738775 3.19137604241569 2.64742422539219
"135" 5.72904201579162 "Sample_137" 3.82763532621851 3.41714020480156 2.40672705620202 4.02058378571509 3.10747852775344 2.89572449253457
"136" 4.29703700055373 "Sample_138" 1.06432455448605 3.46083977128564 4.25150458909623 4.01101858896705 3.15439575269201 2.11138986398932
"137" 5.425512076308 "Sample_139" 3.40419269870582 3.46813537206305 2.67125396632648 4.0386622067759 3.2414482865285 2.63490913880853
"138" 6.14030528428383 "Sample_140" 3.76048329207877 NA NA NA NA NA
"139" 6.440001676136 "Sample_141" 3.53780754218632 NA NA NA NA NA
